Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,204,776,880,768,7,104
4/10/2022,>25,Male,145,160,511,115,721,82
4/10/2022,15-25,Female,408,39,771,532,122,881
4/10/2022,>25,Female,910,349,679,656,735,102
5/10/2022,15-25,Male,761,299,104,852,901,659
5/10/2022,>25,Male,326,235,231,483,34,5
5/10/2022,15-25,Female,201,914,77,566,81,267
5/10/2022,>25,Female,908,739,229,837,177,431
6/10/2022,15-25,Male,263,331,431,594,202,172
6/10/2022,>25,Male,428,38,816,553,839,698
6/10/2022,15-25,Female,524,0,56,748,365,20
6/10/2022,>25,Female,972,579,160,608,764,669
7/10/2022,15-25,Male,340,285,724,899,515,973
7/10/2022,>25,Male,565,130,805,922,315,183
7/10/2022,15-25,Female,177,157,687,914,480,269
7/10/2022,>25,Female,240,857,252,820,976,638
8/10/2022,15-25,Male,172,332,535,594,135,262
8/10/2022,>25,Male,90,699,613,966,11,443
8/10/2022,15-25,Female,803,394,833,607,105,875
8/10/2022,>25,Female,940,121,571,961,828,554
9/10/2022,15-25,Male,649,226,129,675,505,231
9/10/2022,>25,Male,661,405,301,676,457,531
9/10/2022,15-25,Female,977,41,315,982,375,736
9/10/2022,>25,Female,751,601,823,926,370,248
10/10/2022,15-25,Male,540,987,91,969,302,680
10/10/2022,>25,Male,225,880,958,638,197,455
10/10/2022,15-25,Female,553,977,803,498,348,364
10/10/2022,>25,Female,522,906,401,654,595,925
11/10/2022,15-25,Male,997,149,756,141,904,774
11/10/2022,>25,Male,213,760,425,784,992,730
11/10/2022,15-25,Female,205,454,771,446,647,783
11/10/2022,>25,Female,570,666,674,543,119,433
12/10/2022,15-25,Male,480,955,183,246,995,456
12/10/2022,>25,Male,499,908,100,925,487,431
12/10/2022,15-25,Female,103,846,335,763,498,881
12/10/2022,>25,Female,1,915,844,627,420,701
13/10/2022,15-25,Male,646,989,382,795,750,459
13/10/2022,>25,Male,950,865,320,112,150,308
13/10/2022,15-25,Female,682,438,440,59,646,371
13/10/2022,>25,Female,878,777,787,857,31,986
14/10/2022,15-25,Male,552,552,5,684,132,842
14/10/2022,>25,Male,243,892,407,776,370,22
14/10/2022,15-25,Female,450,274,512,234,928,668
14/10/2022,>25,Female,764,995,560,490,114,854
15/10/2022,15-25,Male,46,233,798,195,572,453
15/10/2022,>25,Male,414,947,798,242,652,836
15/10/2022,15-25,Female,942,924,418,578,583,70
15/10/2022,>25,Female,178,186,912,474,10,349
16/10/2022,15-25,Male,91,957,681,645,445,753
16/10/2022,>25,Male,26,785,800,682,564,169
16/10/2022,15-25,Female,921,967,272,805,760,849
16/10/2022,>25,Female,734,255,6,962,926,642
17/10/2022,15-25,Male,340,87,455,225,592,979
17/10/2022,>25,Male,226,951,422,721,623,271
17/10/2022,15-25,Female,155,930,399,8,40,2
17/10/2022,>25,Female,320,245,758,547,677,557
18/10/2022,15-25,Male,242,987,752,32,304,739
18/10/2022,>25,Male,924,802,439,8,623,866
18/10/2022,15-25,Female,222,392,558,168,234,709
18/10/2022,>25,Female,466,108,595,590,525,786
19/10/2022,15-25,Male,569,820,69,263,88,709
19/10/2022,>25,Male,238,887,282,769,12,73
19/10/2022,15-25,Female,966,988,347,433,115,697
19/10/2022,>25,Female,183,216,259,46,470,229
20/10/2022,15-25,Male,273,264,416,80,796,295
20/10/2022,>25,Male,967,899,624,932,795,69
20/10/2022,15-25,Female,515,55,568,102,304,137
20/10/2022,>25,Female,952,210,214,554,25,903
21/10/2022,15-25,Male,292,260,333,736,619,763
21/10/2022,>25,Male,201,190,566,821,79,911
21/10/2022,15-25,Female,1000,794,190,908,931,887
21/10/2022,>25,Female,175,735,559,106,410,59
22/10/2022,15-25,Male,972,839,846,75,825,584
22/10/2022,>25,Male,486,296,116,456,862,737
22/10/2022,15-25,Female,365,836,519,924,327,337
22/10/2022,>25,Female,420,860,922,590,321,702
23/10/2022,15-25,Male,539,622,210,721,33,475
23/10/2022,>25,Male,782,215,274,461,820,64
23/10/2022,15-25,Female,69,333,47,197,531,479
23/10/2022,>25,Female,959,588,657,583,897,437
24/10/2022,15-25,Male,208,568,125,829,334,871
24/10/2022,>25,Male,331,271,392,246,922,194
24/10/2022,15-25,Female,741,779,528,996,979,187
24/10/2022,>25,Female,657,623,822,296,284,758
25/10/2022,15-25,Male,298,98,487,546,476,399
25/10/2022,>25,Male,28,189,667,622,415,893
25/10/2022,15-25,Female,295,998,736,340,425,222
25/10/2022,>25,Female,70,708,838,260,246,114
26/10/2022,15-25,Male,962,855,643,957,955,254
26/10/2022,>25,Male,171,683,509,217,344,326
26/10/2022,15-25,Female,403,975,498,422,784,890
26/10/2022,>25,Female,647,241,414,389,597,872
27/10/2022,15-25,Male,984,921,520,587,817,220
27/10/2022,>25,Male,643,238,310,144,62,930
27/10/2022,15-25,Female,668,436,575,305,255,806
27/10/2022,>25,Female,341,544,334,339,837,86
28/10/2022,15-25,Male,395,514,3,296,637,511
28/10/2022,>25,Male,372,959,588,143,371,307
28/10/2022,15-25,Female,326,387,145,292,878,784
28/10/2022,>25,Female,556,81,962,667,268,316
29/10/2022,15-25,Male,563,823,384,686,200,532
29/10/2022,>25,Male,636,332,792,36,776,484
29/10/2022,15-25,Female,809,149,722,242,364,406
29/10/2022,>25,Female,262,236,843,142,54,90
